01:13:30.496 -> Humidity: 68.50 %, Temp: 24.50 Celsius
01:13:32.528 -> Humidity: 46.70 %, Temp: 21.80 Celsius
01:13:34.518 -> Humidity: 46.70 %, Temp: 21.60 Celsius
01:13:36.547 -> Humidity: 46.80 %, Temp: 21.50 Celsius
01:13:38.545 -> Humidity: 46.90 %, Temp: 21.40 Celsius
01:13:40.574 -> Humidity: 47.10 %, Temp: 21.40 Celsius
01:13:42.565 -> Humidity: 47.20 %, Temp: 21.30 Celsius
01:13:44.589 -> Humidity: 47.30 %, Temp: 21.30 Celsius
01:13:46.577 -> Humidity: 47.40 %, Temp: 21.20 Celsius
01:13:48.604 -> Humidity: 47.50 %, Temp: 21.20 Celsius
01:13:50.596 -> Humidity: 47.60 %, Temp: 21.10 Celsius
01:13:52.628 -> Humidity: 47.70 %, Temp: 21.00 Celsius
01:13:54.623 -> Humidity: 47.90 %, Temp: 21.00 Celsius
01:13:56.648 -> Humidity: 48.00 %, Temp: 21.00 Celsius
01:13:58.637 -> Humidity: 48.10 %, Temp: 20.90 Celsius
01:14:00.663 -> Humidity: 48.20 %, Temp: 20.90 Celsius
01:14:02.655 -> Humidity: 48.40 %, Temp: 20.90 Celsius
01:14:04.684 -> Humidity: 48.40 %, Temp: 20.80 Celsius
01:14:06.683 -> Humidity: 48.60 %, Temp: 20.80 Celsius
01:14:08.704 -> Humidity: 48.60 %, Temp: 20.70 Celsius
01:14:10.697 -> Humidity: 48.70 %, Temp: 20.70 Celsius
01:14:12.725 -> Humidity: 48.80 %, Temp: 20.60 Celsius
01:14:14.713 -> Humidity: 48.90 %, Temp: 20.60 Celsius
01:14:16.744 -> Humidity: 49.00 %, Temp: 20.60 Celsius
01:14:18.745 -> Humidity: 49.10 %, Temp: 20.50 Celsius
01:14:20.770 -> Humidity: 49.20 %, Temp: 20.50 Celsius
01:14:22.762 -> Humidity: 49.30 %, Temp: 20.50 Celsius
01:14:24.779 -> Humidity: 49.40 %, Temp: 20.40 Celsius
01:14:26.798 -> Humidity: 49.50 %, Temp: 20.40 Celsius
01:14:28.795 -> Humidity: 49.60 %, Temp: 20.30 Celsius
01:14:30.801 -> Humidity: 49.60 %, Temp: 20.30 Celsius
01:14:32.826 -> Humidity: 49.80 %, Temp: 20.30 Celsius
01:14:34.820 -> Humidity: 49.80 %, Temp: 20.30 Celsius
01:14:36.845 -> Humidity: 49.90 %, Temp: 20.20 Celsius
01:14:38.839 -> Humidity: 50.00 %, Temp: 20.20 Celsius
01:14:40.854 -> Humidity: 50.10 %, Temp: 20.20 Celsius
01:14:42.856 -> Humidity: 50.10 %, Temp: 20.10 Celsius
01:14:44.882 -> Humidity: 50.20 %, Temp: 20.10 Celsius
01:14:46.873 -> Humidity: 50.30 %, Temp: 20.10 Celsius
01:14:48.903 -> Humidity: 50.40 %, Temp: 20.10 Celsius
01:14:50.900 -> Humidity: 50.40 %, Temp: 20.00 Celsius
01:14:52.928 -> Humidity: 50.50 %, Temp: 20.00 Celsius
01:14:54.919 -> Humidity: 50.60 %, Temp: 20.00 Celsius
01:14:56.918 -> Humidity: 50.70 %, Temp: 20.00 Celsius
01:14:58.939 -> Humidity: 50.70 %, Temp: 19.90 Celsius
01:15:00.966 -> Humidity: 50.80 %, Temp: 19.90 Celsius
01:15:02.954 -> Humidity: 50.90 %, Temp: 19.90 Celsius
01:15:04.981 -> Humidity: 51.00 %, Temp: 19.80 Celsius
01:15:06.999 -> Humidity: 51.10 %, Temp: 19.80 Celsius
01:15:08.996 -> Humidity: 51.10 %, Temp: 19.80 Celsius
01:15:10.994 -> Humidity: 51.30 %, Temp: 19.80 Celsius
01:15:13.021 -> Humidity: 51.20 %, Temp: 19.70 Celsius
01:15:15.014 -> Humidity: 51.30 %, Temp: 19.70 Celsius
01:15:17.039 -> Humidity: 51.40 %, Temp: 19.70 Celsius
01:15:19.027 -> Humidity: 51.50 %, Temp: 19.70 Celsius
01:15:21.058 -> Humidity: 51.60 %, Temp: 19.70 Celsius
01:15:23.057 -> Humidity: 51.60 %, Temp: 19.60 Celsius
01:15:25.054 -> Humidity: 51.70 %, Temp: 19.60 Celsius
01:15:27.082 -> Humidity: 51.70 %, Temp: 19.60 Celsius
01:15:29.078 -> Humidity: 51.80 %, Temp: 19.50 Celsius
01:15:31.110 -> Humidity: 51.80 %, Temp: 19.50 Celsius
01:15:33.096 -> Humidity: 51.90 %, Temp: 19.50 Celsius
01:15:35.115 -> Humidity: 52.00 %, Temp: 19.50 Celsius
01:15:37.144 -> Humidity: 52.00 %, Temp: 19.50 Celsius
01:15:39.138 -> Humidity: 52.10 %, Temp: 19.40 Celsius
01:15:41.142 -> Humidity: 52.20 %, Temp: 19.40 Celsius
01:15:43.166 -> Humidity: 52.30 %, Temp: 19.40 Celsius
01:15:45.164 -> Humidity: 52.40 %, Temp: 19.40 Celsius
01:15:47.165 -> Humidity: 52.40 %, Temp: 19.40 Celsius
01:15:49.189 -> Humidity: 52.40 %, Temp: 19.30 Celsius
01:15:51.208 -> Humidity: 52.50 %, Temp: 19.30 Celsius
01:15:53.194 -> Humidity: 52.60 %, Temp: 19.30 Celsius
01:15:55.213 -> Humidity: 52.60 %, Temp: 19.30 Celsius
01:15:57.208 -> Humidity: 52.70 %, Temp: 19.30 Celsius
01:15:59.227 -> Humidity: 52.70 %, Temp: 19.20 Celsius
01:16:01.257 -> Humidity: 52.80 %, Temp: 19.20 Celsius
